id,time,x,y
planet,17340,1.49599e+11,5.16384e+08
dynamic,17340,1.57079e+11,5.02859e+08
planet,17400,1.49599e+11,5.18171e+08
dynamic,17400,1.57079e+11,5.04599e+08
planet,17460,1.49599e+11,5.19958e+08
dynamic,17460,1.57079e+11,5.06339e+08
planet,17520,1.49599e+11,5.21745e+08
dynamic,17520,1.57079e+11,5.08079e+08
planet,17580,1.49599e+11,5.23531e+08
dynamic,17580,1.57079e+11,5.09819e+08
planet,17640,1.49599e+11,5.25318e+08
dynamic,17640,1.57079e+11,5.11559e+08
planet,17700,1.49599e+11,5.27105e+08
dynamic,17700,1.57079e+11,5.13299e+08
planet,17760,1.49599e+11,5.28892e+08
dynamic,17760,1.57079e+11,5.15039e+08
planet,17820,1.49599e+11,5.30678e+08
dynamic,17820,1.57079e+11,5.16779e+08
planet,17880,1.49599e+11,5.32465e+08
dynamic,17880,1.57079e+11,5.18519e+08
planet,17940,1.49599e+11,5.34252e+08
dynamic,17940,1.57079e+11,5.20259e+08
planet,18000,1.49599e+11,5.36039e+08
dynamic,18000,1.57079e+11,5.21999e+08
planet,18060,1.49599e+11,5.37826e+08
dynamic,18060,1.57079e+11,5.23739e+08
planet,18120,1.49599e+11,5.39612e+08
dynamic,18120,1.57079e+11,5.25479e+08
planet,18180,1.49599e+11,5.41399e+08
dynamic,18180,1.57079e+11,5.27219e+08
planet,18240,1.49599e+11,5.43186e+08
dynamic,18240,1.57079e+11,5.28959e+08
planet,18300,1.49599e+11,5.44973e+08
dynamic,18300,1.57079e+11,5.30699e+08
planet,18360,1.49599e+11,5.4676e+08
dynamic,18360,1.57079e+11,5.32439e+08
planet,18420,1.49599e+11,5.48546e+08
dynamic,18420,1.57079e+11,5.34179e+08
planet,18480,1.49599e+11,5.50333e+08
dynamic,18480,1.57079e+11,5.35919e+08
planet,18540,1.49599e+11,5.5212e+08
dynamic,18540,1.57079e+11,5.37659e+08
planet,18600,1.49599e+11,5.53907e+08
